area_name,congest_lvl,ppltn_min,ppltn_max,temp,update_time,collected_at
대림역,여유,14000,16000,8.5,2026-03-10 15:45,2026-03-10 16:11:05
동대문역,약간 붐빔,9500,10000,9.5,2026-03-10 15:45,2026-03-10 16:11:05
뚝섬역,약간 붐빔,12000,14000,8.9,2026-03-10 15:45,2026-03-10 16:11:05
미아사거리역,보통,12000,14000,8.2,2026-03-10 15:45,2026-03-10 16:11:06
발산역,보통,10000,12000,8.3,2026-03-10 15:45,2026-03-10 16:11:06
사당역,여유,12000,14000,8.5,2026-03-10 15:45,2026-03-10 16:11:06
삼각지역,여유,2000,2500,8.9,2026-03-10 15:45,2026-03-10 16:11:06
서울대입구역,여유,10000,12000,8.1,2026-03-10 15:45,2026-03-10 16:11:07
서울식물원·마곡나루역,약간 붐빔,10000,12000,8.3,2026-03-10 15:45,2026-03-10 16:11:07
서울역,붐빔,28000,30000,9.5,2026-03-10 15:45,2026-03-10 16:11:07
선릉역,붐빔,70000,72000,8.9,2026-03-10 15:45,2026-03-10 16:11:07
성신여대입구역,보통,7500,8000,9.5,2026-03-10 15:45,2026-03-10 16:11:08
수유역,여유,12000,14000,8.2,2026-03-10 15:45,2026-03-10 16:11:08
신논현역·논현역,약간 붐빔,14000,16000,8.9,2026-03-10 15:45,2026-03-10 16:11:08
신도림역,여유,7500,8000,8.1,2026-03-10 15:45,2026-03-10 16:11:08
신림역,여유,9500,10000,8.1,2026-03-10 15:45,2026-03-10 16:11:08
신촌·이대역,약간 붐빔,36000,38000,8.2,2026-03-10 15:45,2026-03-10 16:11:09
양재역,약간 붐빔,20000,22000,8.9,2026-03-10 15:45,2026-03-10 16:11:09
역삼역,붐빔,52000,54000,8.9,2026-03-10 15:45,2026-03-10 16:11:09
연신내역,보통,7500,8000,7.5,2026-03-10 15:45,2026-03-10 16:11:12
오목교역·목동운동장,여유,58000,60000,8.0,2026-03-10 15:45,2026-03-10 16:11:13
왕십리역,여유,18000,20000,9.0,2026-03-10 15:45,2026-03-10 16:11:13
용산역,보통,18000,20000,8.2,2026-03-10 15:45,2026-03-10 16:11:13
이태원역,여유,3000,3500,8.9,2026-03-10 15:45,2026-03-10 16:11:13
장지역,보통,18000,20000,9.2,2026-03-10 15:45,2026-03-10 16:11:14
장한평역,약간 붐빔,10000,12000,9.0,2026-03-10 15:45,2026-03-10 16:11:14
천호역,여유,9000,9500,9.1,2026-03-10 15:45,2026-03-10 16:11:14
총신대입구(이수)역,여유,12000,14000,8.5,2026-03-10 15:45,2026-03-10 16:11:14
충정로역,보통,8500,9000,8.2,2026-03-10 15:45,2026-03-10 16:11:15
합정역,보통,10000,12000,8.2,2026-03-10 15:45,2026-03-10 16:11:15
혜화역,약간 붐빔,20000,22000,9.5,2026-03-10 15:45,2026-03-10 16:11:15
홍대입구역(2호선),보통,20000,22000,8.3,2026-03-10 15:45,2026-03-10 16:11:15
회기역,여유,9000,9500,9.0,2026-03-10 15:45,2026-03-10 16:11:15
가락시장,여유,8500,9000,9.2,2026-03-10 15:45,2026-03-10 16:11:16
가로수길,약간 붐빔,32000,34000,8.9,2026-03-10 15:45,2026-03-10 16:11:16
광장(전통)시장,약간 붐빔,5500,6000,9.5,2026-03-10 15:45,2026-03-10 16:11:16
김포공항,여유,10000,12000,8.3,2026-03-10 15:45,2026-03-10 16:11:16
노량진,여유,20000,22000,8.1,2026-03-10 15:45,2026-03-10 16:11:16
덕수궁길·정동길,약간 붐빔,6500,7000,9.5,2026-03-10 15:45,2026-03-10 16:11:17
북촌한옥마을,약간 붐빔,18000,20000,9.5,2026-03-10 15:45,2026-03-10 16:11:20
서촌,약간 붐빔,14000,16000,9.5,2026-03-10 15:45,2026-03-10 16:11:20
성수카페거리,보통,36000,38000,8.9,2026-03-10 15:45,2026-03-10 16:11:20
쌍문역,보통,7000,7500,8.2,2026-03-10 15:45,2026-03-10 16:11:21
압구정로데오거리,약간 붐빔,36000,38000,8.9,2026-03-10 15:45,2026-03-10 16:11:21
여의도,약간 붐빔,170000,175000,8.2,2026-03-10 15:45,2026-03-10 16:11:22
연남동,여유,9000,9500,8.3,2026-03-10 15:45,2026-03-10 16:11:22
영등포 타임스퀘어,보통,18000,20000,8.2,2026-03-10 15:45,2026-03-10 16:11:22
용리단길,약간 붐빔,6000,6500,8.9,2026-03-10 15:45,2026-03-10 16:11:22
이태원 앤틱가구거리,약간 붐빔,5000,5500,8.9,2026-03-10 15:45,2026-03-10 16:11:22
인사동,약간 붐빔,26000,28000,9.5,2026-03-10 15:45,2026-03-10 16:11:23
창동 신경제 중심지,보통,36000,38000,9.9,2026-03-10 15:45,2026-03-10 16:11:23
청담동 명품거리,약간 붐빔,8500,9000,8.9,2026-03-10 15:45,2026-03-10 16:11:23
청량리 제기동 일대 전통시장,보통,16000,18000,9.0,2026-03-10 15:45,2026-03-10 16:11:23
해방촌·경리단길,여유,3500,4000,8.9,2026-03-10 15:45,2026-03-10 16:11:24
DDP(동대문디자인플라자),보통,7000,7500,9.5,2026-03-10 15:45,2026-03-10 16:11:24
DMC(디지털미디어시티),약간 붐빔,42000,44000,8.3,2026-03-10 15:45,2026-03-10 16:11:24
강서한강공원,여유,100,200,8.3,2026-03-10 15:45,2026-03-10 16:11:24
고척돔,여유,1000,1500,8.5,2026-03-10 15:45,2026-03-10 16:11:25
광나루한강공원,보통,4000,4500,9.1,2026-03-10 15:45,2026-03-10 16:11:25
광화문광장,약간 붐빔,9500,10000,9.5,2026-03-10 15:45,2026-03-10 16:11:28
국립중앙박물관·용산가족공원,보통,2500,3000,8.9,2026-03-10 15:45,2026-03-10 16:11:28
난지한강공원,여유,1000,1500,8.3,2026-03-10 15:45,2026-03-10 16:11:28
남산공원,약간 붐빔,16000,18000,9.5,2026-03-10 15:45,2026-03-10 16:11:29
노들섬,여유,300,400,8.2,2026-03-10 15:45,2026-03-10 16:11:29
뚝섬한강공원,여유,2000,2500,8.9,2026-03-10 15:45,2026-03-10 16:11:29
망원한강공원,여유,1000,1500,8.2,2026-03-10 15:45,2026-03-10 16:11:29
반포한강공원,여유,2000,2500,8.9,2026-03-10 15:45,2026-03-10 16:11:29
북서울꿈의숲,여유,4500,5000,8.2,2026-03-10 15:45,2026-03-10 16:11:30
서리풀공원·몽마르뜨공원,약간 붐빔,5500,6000,8.5,2026-03-10 15:45,2026-03-10 16:11:30
서울광장,약간 붐빔,2000,2500,9.5,2026-03-10 15:45,2026-03-10 16:11:30
서울대공원,여유,1500,2000,8.6,2026-03-10 15:45,2026-03-10 16:11:30
서울숲공원,보통,4000,4500,8.9,2026-03-10 15:45,2026-03-10 16:11:30
아차산,여유,4500,5000,8.3,2026-03-10 15:45,2026-03-10 16:11:31
양화한강공원,여유,700,800,8.0,2026-03-10 15:45,2026-03-10 16:11:31
어린이대공원,약간 붐빔,6000,6500,9.1,2026-03-10 15:45,2026-03-10 16:11:31
여의도한강공원,약간 붐빔,3500,4000,8.2,2026-03-10 15:45,2026-03-10 16:11:31
월드컵공원,보통,7000,7500,8.3,2026-03-10 15:45,2026-03-10 16:11:31
응봉산,보통,3000,3500,8.9,2026-03-10 15:45,2026-03-10 16:11:32
이촌한강공원,여유,2500,3000,8.9,2026-03-10 15:45,2026-03-10 16:11:32
잠실종합운동장,여유,2500,3000,9.2,2026-03-10 15:45,2026-03-10 16:11:35
잠실한강공원,여유,1500,2000,9.1,2026-03-10 15:45,2026-03-10 16:11:35
잠원한강공원,여유,1000,1500,8.9,2026-03-10 15:45,2026-03-10 16:11:35
청계산,여유,1000,1500,7.3,2026-03-10 15:45,2026-03-10 16:11:35
청와대,보통,600,700,9.5,2026-03-10 15:45,2026-03-10 16:11:36
북창동 먹자골목,약간 붐빔,14000,16000,9.5,2026-03-10 15:45,2026-03-10 16:11:36
남대문시장,붐빔,20000,22000,9.5,2026-03-10 15:45,2026-03-10 16:11:36
익선동,약간 붐빔,14000,16000,9.5,2026-03-10 15:45,2026-03-10 16:11:36
신정네거리역,여유,1500,2000,8.0,2026-03-10 15:45,2026-03-10 16:11:37
잠실새내역,여유,10000,12000,9.2,2026-03-10 15:45,2026-03-10 16:11:37
잠실역,보통,26000,28000,9.1,2026-03-10 15:45,2026-03-10 16:11:37
잠실롯데타워 일대,보통,50000,52000,9.1,2026-03-10 15:45,2026-03-10 16:11:37
송리단길·호수단길,여유,6000,6500,9.2,2026-03-10 15:45,2026-03-10 16:11:38
신촌 스타광장,여유,2500,3000,8.2,2026-03-10 15:45,2026-03-10 16:11:38
보라매공원,약간 붐빔,4500,5000,8.1,2026-03-10 15:45,2026-03-10 16:11:38
서대문독립공원,여유,1000,1500,9.5,2026-03-10 15:45,2026-03-10 16:11:38
안양천,여유,1000,1500,8.0,2026-03-10 15:45,2026-03-10 16:11:38
여의서로,보통,800,900,8.2,2026-03-10 15:45,2026-03-10 16:11:39
올림픽공원,여유,8000,8500,9.1,2026-03-10 15:45,2026-03-10 16:11:39
홍제폭포,여유,300,400,8.3,2026-03-10 15:45,2026-03-10 16:11:39
